datetime,pct,precip,precipcover,preciptype,snow,snowdepth
2016-09-23,0.7630541933937871,0.068,4.17,rain,0.0,0.0
2016-09-24,0.8599658649305701,0.254,12.5,rain,0.0,0.0
2016-09-25,0.7802183892234188,0.0,0.0,,0.0,0.0
2016-09-26,0.7604753742316647,0.0,0.0,,0.0,0.0
2016-09-27,0.7603324243569582,0.231,16.67,rain,0.0,0.0
2016-09-28,0.7501614757620618,0.001,4.17,rain,0.0,0.0
2016-09-29,0.7783835414293829,0.0,0.0,,0.0,0.0
2016-09-30,0.7688867465083877,0.145,25.0,rain,0.0,0.0
2016-10-01,0.8301913466557902,0.67,83.33,rain,0.0,0.0
2016-10-02,0.7772730303835054,0.033,12.5,rain,0.0,0.0
2016-10-03,0.775531058734487,0.0,0.0,,0.0,0.0
2016-10-04,0.7790207219840423,0.001,4.17,rain,0.0,0.0
2016-10-05,0.7773353271644889,0.0,0.0,,0.0,0.0
2016-10-06,0.7522718400600581,0.0,0.0,,0.0,0.0
2016-10-07,0.7680286427087726,0.0,0.0,,0.0,0.0
2016-10-08,0.8413085423094534,0.0,0.0,,0.0,0.0
2016-10-09,0.778106604772847,1.844,87.5,rain,0.0,0.0
2016-10-10,0.7876591294761945,0.0,0.0,,0.0,0.0
2016-10-11,0.8167875292601281,0.0,0.0,,0.0,0.0
2016-10-12,0.6889407013855093,0.0,0.0,,0.0,0.0
2016-10-13,0.734130700890254,0.0,0.0,,0.0,0.0
2016-10-14,0.8277081606163996,0.0,0.0,,0.0,0.0
2016-10-15,0.8316641410904176,0.0,0.0,,0.0,0.0
2016-10-16,0.7559754873941632,0.0,0.0,,0.0,0.0
2016-10-17,0.7489112017835091,0.0,0.0,,0.0,0.0
2016-10-18,0.748568423091444,0.158,16.67,rain,0.0,0.0
2016-10-19,0.8315711353655701,0.0,0.0,,0.0,0.0
2016-10-20,0.8020447084872883,0.028,4.17,rain,0.0,0.0
2016-10-21,0.8069354946384342,1.154,37.5,rain,0.0,0.0
2016-10-22,0.8182388167388168,0.188,29.17,rain,0.0,0.0
2016-10-23,0.7601561620787158,0.0,0.0,,0.0,0.0
2016-10-24,0.7548484341077726,0.0,0.0,,0.0,0.0
2016-10-25,0.7588556120720586,0.0,0.0,,0.0,0.0
2016-10-26,0.7841433303603056,0.0,0.0,,0.0,0.0
2016-10-27,0.7403365119123639,0.5,33.33,rain,0.0,0.0
2016-10-28,0.7295974582111013,0.743,41.67,rain,0.0,0.1
2016-10-29,0.8479669334912268,0.0,0.0,,0.0,0.0
2016-10-30,0.7571953344383431,0.145,20.83,rain,0.0,0.0
2016-10-31,0.740131900123638,0.0,0.0,,0.0,0.0
2016-11-01,0.763849324696759,0.0,0.0,,0.0,0.0
2016-11-02,0.8135826402281955,0.0,0.0,,0.0,0.0
2016-11-03,0.7665215149481595,0.074,12.5,rain,0.0,0.0
2016-11-04,0.7601618182399412,0.0,0.0,,0.0,0.0
2016-11-05,0.8288380796800142,0.0,0.0,,0.0,0.0
2016-11-06,0.734120471497847,0.086,16.67,rain,0.0,0.0
2016-11-07,0.7183068837557698,0.0,0.0,,0.0,0.0
2016-11-08,0.8196095237429228,0.0,0.0,,0.0,0.0
2016-11-09,0.7507834595262253,0.011,4.17,rain,0.0,0.0
2016-11-10,0.7451964198144223,0.0,0.0,,0.0,0.0
2016-11-11,0.7707241483676882,0.0,0.0,,0.0,0.0
2016-11-12,0.8460152003558337,0.0,0.0,,0.0,0.0
2016-11-13,0.77962751172897,0.0,0.0,,0.0,0.0
2016-11-14,0.748552113931112,0.0,0.0,,0.0,0.0
2016-11-15,0.7146578100990129,1.005,37.5,rain,0.0,0.0
2016-11-16,0.8141818748469747,0.041,12.5,rain,0.0,0.0
2016-11-17,0.7109703988459404,0.0,0.0,,0.0,0.0
2016-11-18,0.8183166611129916,0.0,0.0,,0.0,0.0
2016-11-19,0.8184253084727476,0.0,0.0,,0.0,0.0
2016-11-20,0.7678652705851754,0.08,12.5,rain,0.0,0.0
2016-11-21,0.7589588160756264,0.0,0.0,,0.0,0.0
2016-11-22,0.6933870582887137,0.0,0.0,,0.0,0.0
2016-11-23,0.7694062210649222,0.0,0.0,,0.0,0.0
