datetime,precip,precipcover,preciptype,snow,snowdepth
2017-03-22,0.0,0.0,,0.0,0.1
2017-03-23,0.0,0.0,,0.0,0.0
2017-03-24,0.029,12.5,rain,0.0,0.0
2017-03-25,0.078,25.0,rain,0.0,0.0
2017-03-26,0.0,0.0,,0.0,0.0
2017-03-27,0.487,33.33,rain,0.0,0.0
2017-03-28,0.567,29.17,rain,0.0,0.0
2017-03-29,0.199,16.67,rain,0.0,0.0
2017-03-30,0.0,0.0,,0.0,0.0
2017-03-31,0.686,62.5,"rain,snow",0.3,0.1
2017-04-01,1.758,87.5,"rain,snow",2.9,0.3
2017-04-02,0.0,0.0,,0.0,0.3
2017-04-03,0.0,0.0,,0.0,0.3
2017-04-04,0.635,66.67,rain,0.0,0.2
2017-04-05,0.028,4.17,rain,0.0,0.0
2017-04-06,1.354,50.0,rain,0.0,0.0
2017-04-07,0.0,0.0,,0.0,0.0
2017-04-08,0.0,0.0,,0.0,0.0
2017-04-09,0.0,0.0,,0.0,0.0
2017-04-10,0.0,0.0,,0.0,0.0
2017-04-11,0.0,0.0,,0.0,0.0
2017-04-12,0.022,8.33,rain,0.0,0.0
2017-04-13,0.0,0.0,,0.0,0.0
2017-04-14,0.0,0.0,,0.0,0.0
2017-04-15,0.001,4.17,rain,0.0,0.0
2017-04-16,0.0,0.0,,0.0,0.0
2017-04-17,0.0,0.0,,0.0,0.0
2017-04-18,0.0,0.0,,0.0,0.0
2017-04-19,0.049,8.33,rain,0.0,0.0
2017-04-20,0.038,12.5,rain,0.0,0.0
2017-04-21,0.502,79.17,rain,0.0,0.0
2017-04-22,0.068,20.83,rain,0.0,0.0
2017-04-23,0.0,0.0,,0.0,0.0
2017-04-24,0.0,0.0,,0.0,0.0
2017-04-25,0.788,54.17,rain,0.0,0.0
2017-04-26,0.692,79.17,rain,0.0,0.0
2017-04-27,0.0,0.0,,0.0,0.0
2017-04-28,0.012,4.17,rain,0.0,0.0
2017-04-29,0.0,0.0,,0.0,0.0
2017-04-30,0.016,4.17,rain,0.0,0.0
2017-05-01,0.0,0.0,,0.0,0.0
2017-05-02,0.21,37.5,rain,0.0,0.0
2017-05-03,0.0,0.0,,0.0,0.0
2017-05-04,0.0,0.0,,0.0,0.0
2017-05-05,0.662,37.5,rain,0.0,0.0
2017-05-06,0.114,37.5,rain,0.0,0.0
2017-05-07,0.0,0.0,,0.0,0.0
2017-05-08,0.0,0.0,,0.0,0.0
2017-05-09,0.0,0.0,,0.0,0.0
2017-05-10,0.0,0.0,,0.0,0.0
2017-05-11,0.0,0.0,,0.0,0.0
2017-05-12,0.011,4.17,rain,0.0,0.0
2017-05-13,0.006,12.5,rain,0.0,0.0
2017-05-14,0.992,75.0,rain,0.0,0.0
2017-05-15,0.109,41.67,rain,0.0,0.0
2017-05-16,0.0,0.0,,0.0,0.0
2017-05-17,0.0,0.0,,0.0,0.0
2017-05-18,0.0,0.0,,0.0,0.0
2017-05-19,0.059,8.33,rain,0.0,0.0
