service_date,peak_offpeak_ind,pct
2023/10/25 04:00:00+00,OFF_PEAK,0.7939852181195775
2023/10/24 04:00:00+00,OFF_PEAK,0.8006325191719923
2023/10/23 04:00:00+00,OFF_PEAK,0.7956898298645464
2023/10/23 04:00:00+00,PEAK,0.7898656500338286
2023/10/24 04:00:00+00,PEAK,0.8523092915444027
2023/10/22 04:00:00+00,OFF_PEAK,0.7926480714787401
2023/10/20 04:00:00+00,OFF_PEAK,0.841451791480975
2023/10/20 04:00:00+00,PEAK,0.8411133626591335
2023/10/21 04:00:00+00,OFF_PEAK,0.7072204775488693
2023/10/19 04:00:00+00,PEAK,0.8055915157838173
2023/10/19 04:00:00+00,OFF_PEAK,0.7950787217195239
2023/10/17 04:00:00+00,PEAK,0.8071490644552978
2023/10/17 04:00:00+00,OFF_PEAK,0.8026137493075035
2023/10/18 04:00:00+00,PEAK,0.845599932199568
2023/10/18 04:00:00+00,OFF_PEAK,0.8156450102417836
2023/10/16 04:00:00+00,OFF_PEAK,0.7808738105895957
2023/10/16 04:00:00+00,PEAK,0.8095228045428468
2023/10/15 04:00:00+00,OFF_PEAK,0.7996036414708557
2023/10/14 04:00:00+00,OFF_PEAK,0.7556230321401831
2023/10/13 04:00:00+00,PEAK,0.7345685191476515
2023/10/12 04:00:00+00,PEAK,0.7903279980570127
2023/10/13 04:00:00+00,OFF_PEAK,0.7790206020212112
2023/10/11 04:00:00+00,OFF_PEAK,0.7638982647367492
2023/10/12 04:00:00+00,OFF_PEAK,0.776403503944495
2023/10/11 04:00:00+00,PEAK,0.785240022809891
2023/10/10 04:00:00+00,PEAK,0.7666380923772499
2023/10/09 04:00:00+00,PEAK,0.7743481348453355
2023/10/09 04:00:00+00,OFF_PEAK,0.7469748074964534
2023/10/10 04:00:00+00,OFF_PEAK,0.7604545065368791
2023/10/08 04:00:00+00,OFF_PEAK,0.7922290342306082
2023/10/06 04:00:00+00,PEAK,0.7165626146357194
2023/10/07 04:00:00+00,OFF_PEAK,0.7646664598308394
2023/10/06 04:00:00+00,OFF_PEAK,0.739065851506494
2023/10/05 04:00:00+00,OFF_PEAK,0.7718013349958109
2023/10/05 04:00:00+00,PEAK,0.7166562454809505
2023/10/04 04:00:00+00,PEAK,0.6813702954401307
2023/10/04 04:00:00+00,OFF_PEAK,0.7059132431245535
2023/10/02 04:00:00+00,PEAK,0.7339577146475114
2023/10/03 04:00:00+00,OFF_PEAK,0.7968722694386575
2023/10/03 04:00:00+00,PEAK,0.8191549050999184
2023/10/01 04:00:00+00,OFF_PEAK,0.7652641390677154
2023/10/02 04:00:00+00,OFF_PEAK,0.7548277043777576
2023/09/29 04:00:00+00,PEAK,0.6922573345858177
2023/09/30 04:00:00+00,OFF_PEAK,0.7582222945535342
2023/09/29 04:00:00+00,OFF_PEAK,0.7445416253683127
2023/09/28 04:00:00+00,PEAK,0.7260193362499847
2023/09/27 04:00:00+00,OFF_PEAK,0.7364443313694333
2023/09/28 04:00:00+00,OFF_PEAK,0.7363440249961116
2023/09/26 04:00:00+00,PEAK,0.7468495631282622
2023/09/27 04:00:00+00,PEAK,0.7129692906953156
2023/09/26 04:00:00+00,OFF_PEAK,0.7430104096572976
2023/09/25 04:00:00+00,PEAK,0.7816082052892446
2023/09/23 04:00:00+00,OFF_PEAK,0.763163989213301
2023/09/24 04:00:00+00,OFF_PEAK,0.7717638049406194
2023/09/25 04:00:00+00,OFF_PEAK,0.7296497753081084
2023/09/22 04:00:00+00,OFF_PEAK,0.6596245520063997
2023/09/22 04:00:00+00,PEAK,0.7440464812449176
2023/09/21 04:00:00+00,OFF_PEAK,0.7455898698069857
2023/09/20 04:00:00+00,PEAK,0.7363106046077341
2023/09/19 04:00:00+00,PEAK,0.6946035572381498
2023/09/21 04:00:00+00,PEAK,0.7780376746103811
2023/09/20 04:00:00+00,OFF_PEAK,0.7643792886794225
2023/09/18 04:00:00+00,OFF_PEAK,0.6853639506135198
2023/09/18 04:00:00+00,PEAK,0.6774424756890458
2023/09/19 04:00:00+00,OFF_PEAK,0.7227244127854034
2023/09/17 04:00:00+00,OFF_PEAK,0.7035864422856036
2023/09/16 04:00:00+00,OFF_PEAK,0.7699378632686996
2023/09/15 04:00:00+00,OFF_PEAK,0.7505490168548029
2023/09/15 04:00:00+00,PEAK,0.7058326326621884
2023/09/13 04:00:00+00,OFF_PEAK,0.7585298183560095
2023/09/14 04:00:00+00,PEAK,0.7853337256130156
2023/09/14 04:00:00+00,OFF_PEAK,0.781811962551866
2023/09/13 04:00:00+00,PEAK,0.7642532275871486
2023/09/12 04:00:00+00,PEAK,0.7268363550229421
